id	lexeme	knows	uses	citation	profs	predicative	accusative	possessive	aorist	infinitive	causative	ulcase
1014	antlaşma			antɫaʃma'	antɫaʃmadʒɯ'	antɫaʃma'jɯm	antɫaʃmajɯ'	antɫaʃma'm				l
10140	istical											l
10141	isticar											l
10142	isticvab											l
10143	isticvap											l
10144	istida			istida:'		istida:'jɯm	istida:jɯ'	istida'm				l
10145	istidad			istida't		istida:'dɯm	istida:dɯ'	istida:dɯ'm				l
10146	istidat			istida't		istida:'dɯm	istida:dɯ'	istida:dɯ'm				l
10147	istidlâl											l
10148	istidlal											l
10149	istif			isti'f	istiftʃi'	isti'fim	istifi'	istifi'm				l
1015	antoloji			antoɫoʒi'		antoɫoʒi'jim	antoɫoʒiji'	antoɫoʒi'm				l
10150	istifa			istifa:'	istifa:dʒɯ'	istifa:'jɯm	istifa:jɯ'	istifa:'m				l
10151	istifade											l
10152	istifçi											l
10153	istifham											l
10154	istiflemek											l
10155	istifrağ											l
10156	istifraş											l
10157	istifsar											l
10158	istifta											l
10159	istiğfar											l
1016	antomolog											l
10160	istiğlal											l
10161	istiğna											l
10162	istiğrab											l
10163	istiğrak											l
10164	istihale											l
10165	istihare											l
10166	istihbar			istihba'ɾ	istihbaɾdʒɯ'	istihba:'ɾɯm	istihba:ɾɯ'	istihba:ɾɯ'm				l
10167	istihdaf											l
10168	istihdam			istihda'm		istihda:'mɯm	istihda:mɯ'	istihda:mɯ'm				l
10169	istihfaf											l
1017	antraks											l
10170	istihkâm			istihca'm		istihca:'mɯm	istihca:mɯ'	istihca:mɯ'm				l
10171	istihkak											l
10172	istihkar											l
10173	istihlâf											l
10174	istihlâk											l
10175	istihlâl											l
10176	istihlâs											l
10177	istihlak											l
10178	istihmam											l
10179	istihrac											l
1018	antrakt											l
10180	istihraç											l
10181	istihsal											l
10182	istihsan											l
10183	istihza											l
10184	istihzar											l
10185	istika											l
10186	istikamet			istika:me't		istika:me'tim	istika:meti'	istika:meti'm				l
10187	istikbal											l
10188	istiklâl											l
10189	istiklal											l
1019	antrasit											l
10190	istikmal											l
10191	istiknah											l
10192	istikra											l
10193	istikrah											l
10194	istikrar											l
10195	istikraz											l
10196	istikşaf											l
10197	istiksar											l
10198	istila			istiɫa:'		istiɫa:'jɯm	istiɫa:jɯ'	istiɫa:'m				l
10199	istilâ			istila:'	istila:dʒɯ'	istila:'jɯm	istila:jɯ'	istila:'m				l
102	açık			atʃɯ'k	atʃɯktʃɯ'	atʃɯ'ɯm	atʃɯɯ'	atʃɯɯ'm				l
1020	antrdö											l
10200	istilâm											l
10201	istilyoz											l
10202	istilzam											l
10203	istim											l
10204	istima											l
10205	istimal											l
10206	istiman											l
10207	istimar											l
10208	istimara											l
10209	istimbat											l
1021	antre											l
10210	istimbot			istimbo't	istimbottʃu'	istimbo'tum	istimbotu'	istimbotu'm				l
10211	istimdad			istimda't		istimda:'tɯm	istimda:tɯ'	istimda:tɯ'm				l
10212	istimdat											l
10213	istimhal											l
10214	istimlâk											l
