id	lexeme	knows	uses	citation	profs	predicative	accusative	possessive	aorist	infinitive	causative	ulcase
10199	hll			hll'	hlhl'	hll'h	hlhl'	hlh'				l
102	lh			lh'	lhl'	ll'h	lll'	llh'				l
1020	hl											l
10200	hlh											l
10201	hhh											l
10202	hhh											l
10203	hh											l
10204	hll											l
10205	hlh											l
10206	hlh											l
10207	hlh											l
10208	hlll											l
10209	hhh											l
1021	hl											l
10210	hhh			hhh'	hhhl'	hhl'h	hhll'	hhlh'				l
10211	hhh			hhh'		hhl'h	hhhl'	hhhh'				l
10212	hhh											l
10213	hhh											l
10214	hhh											l
10215	hhh			hhh'		hhlh'	hhll'	hhlh'				l
10216	hhl											l
10217	hhh											l
10218	hhh											l
10219	hlll											l
1022	hhh											l
10220	hlh											l
10221	hllh											l
10222	hlh											l
10223	hlll											l
10224	hlh											l
10225	hlh			hlh'	hlhl'	hll'h	hlll'	hllh'				l
10226	hhh											l
10227	hhl											l
10228	hhh											l
10229	hhh											l
1023	hlh			hlh'		hll'h	hlll'	hllh'				l
10230	hhh											l
10231	hhh											l
10232	hhh											l
10233	hllh			hllh'	hllhl'	hlll'h	hllll'	hlllh'				l
10234	hhh											l
10235	hhh											l
10236	hhh											l
10237	hlhl			hlh'l		hlh'lh	hlh'll	hlh'h				l
10238	hhh											l
10239	hlll											l
1024	hll			hll'l	hll'll	hll'lh	hll'll	hll'h				l
10240	hhh											l
10241	hhh											l
10242	hlh											l
10243	hhh											l
10244	hhl											l
10245	hhh											l
10246	hhh											l
10247	hhl											l
10248	hllh											l
10249	hlll											l
1025	hll-											l
10250	hhh											l
10251	hhh											l
10252	hll											l
10253	hlh											l
10254	hlh											l
10255	hhh											l
10256	hll											l
10257	hh											l
10258	hh			h'h		h'lh	h'll	h'lh				l
10259	hh											l
1026	lh			lh'		ll'h	lll'	llh'				l
10260	hhl											l
10261	hlll											l
10262	hhlh											l
10263	hh			hh'	hhl'	hl'h	hll'	hlh'				l
10264	h			h'	hl'	l'h	ll'	lh'				l
10265	lh											l
10266	ll											l
10267	llh			llh'	llhl'	lll'h	llll'	lllh'				l
10268	lh											l
10269	llh			llh'	llhl'	lll'h	llll'	lllh'				l
1027	lh											l
10270	lh											l
10271	hlh											l
10272	hhl											l
10273	hhll											l
10274	lhlh											l
10275	lhlh											l
10276	hl											l
10277	hh			hh'	hhl'	hl'h	hhl'	hhh'				l
10278	hh			hh'		hl'h	hhl'	hhh'				l
10279	hh			hh'	hhl'	hl'h	hll'	hlh'				l
1028	lh											l
10280	hlll											l
10281	hlll			hlhl'		hlhl'h	hlhhl'	hlhh'				l
10282	llh			hlh'		hll'h	hlhl'	hlhh'				l
10283	lllh			hll'h								l
10284	lll											l
10285	llh											l
10286	lll											l
10287	llh											l
10288	llh											l
10289	llh											l
1029	hh			hh'		hl'h	hll'	hlh'				l
10290	lll											l
10291	lll											l
10292	llh											l
10293	llh											l
10294	llh											l
10295	llh											l
10296	llh			hlh'	hlhl'	hll'h	hlll'	hllh'				l
10297	lll			hll'		hll'h	hlhl'	hlh'				l
10298	llh											l
10299	llh			hlh'		hll'h	hlhl'	hlhh'				l
103	lllh											l
1030	hlh											l
10300	lhl											l
10301	lhh											l
10302	llh											l
10303	llh											l
10304	llh											l
10305	llh											l
10306	llh											l
10307	hl											l
10308	hh											l
10309	hh											l
1031	lh											l
10310	hh											l
10311	hh											l
10312	hh											l
10313	hlh											l
10314	hlh											l
10315	hlh											l
10316	hlh											l
10317	hll											l
